epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.35262,1.51162,3.22811,1.22884,0.015,0.32143,0.01196,0.00705,1.45521,3.26561,1.12614,2e-05,2e-05,2e-05
2,3.37234,1.63971,3.2297,1.25435,0.02167,0.46429,0.01824,0.00867,1.46542,3.23847,1.10646,5.9802e-05,5.9802e-05,5.9802e-05
3,4.22975,1.5161,3.21109,1.21325,0.03,0.64286,0.02892,0.01719,1.32345,3.16807,1.02029,9.934e-05,9.934e-05,9.934e-05
4,5.10615,1.48156,3.17231,1.17619,0.035,0.75,0.04306,0.02397,1.30755,3.15003,0.99788,0.000138614,0.000138614,0.000138614
5,5.90655,1.30075,3.02323,1.1098,0.04667,1,0.09495,0.05564,1.18795,3.10918,0.94702,0.000177624,0.000177624,0.000177624
6,6.70763,1.31921,2.87854,1.04233,0.04667,1,0.17969,0.11303,1.19263,3.08804,0.92943,0.00021637,0.00021637,0.00021637
7,6.53223,1.31509,2.59241,1.03443,0.04667,1,0.19767,0.11977,1.23517,3.07927,0.93203,0.000254852,0.000254852,0.000254852
8,5.71404,1.37883,2.19543,1.06489,0.04667,1,0.32634,0.18423,1.19833,3.03319,0.90851,0.00029307,0.00029307,0.00029307
9,6.48576,1.25604,2.2131,0.9936,0.045,0.96429,0.38216,0.21673,1.18127,2.99595,0.90468,0.000331024,0.000331024,0.000331024
10,7.25257,1.36515,1.86923,1.02909,0.04333,0.92857,0.3888,0.20543,1.16887,2.99458,0.91714,0.000368714,0.000368714,0.000368714
11,8.13805,1.41337,1.8408,1.04958,0.04667,1,0.41543,0.23513,1.11822,2.93026,0.89543,0.00040614,0.00040614,0.00040614
12,8.94222,1.35225,1.74039,1.03386,0.04667,1,0.4234,0.2695,1.0889,2.86649,0.87437,0.000443302,0.000443302,0.000443302
13,9.68191,1.254,1.51709,1.01053,0.03973,0.34431,0.39372,0.24309,1.16812,2.86341,0.88849,0.0004802,0.0004802,0.0004802
14,10.4128,1.33753,1.33897,1.0581,0.93249,0.35714,0.41923,0.25942,1.25767,2.86782,0.93368,0.000516834,0.000516834,0.000516834
15,11.1369,1.24693,1.25667,1.06157,1,0.30355,0.41923,0.23195,1.29748,2.88186,0.975,0.000553204,0.000553204,0.000553204
16,11.8561,1.36147,1.1668,1.00622,0.87591,0.25235,0.3708,0.22061,1.28983,2.86466,0.98078,0.00058931,0.00058931,0.00058931
17,12.6024,1.43782,1.36519,1.24571,1,0.2445,0.38606,0.18324,1.34796,2.92014,1.0146,0.000625152,0.000625152,0.000625152
18,13.3352,1.45275,1.27841,1.06839,1,0.25501,0.37066,0.1756,1.28658,2.90294,0.99339,0.00066073,0.00066073,0.00066073
19,14.1161,1.3885,1.30497,1.14227,1,0.22858,0.37129,0.1986,1.21543,2.83966,0.96054,0.000696044,0.000696044,0.000696044
20,14.8453,1.30497,1.163,1.10449,1,0.22579,0.31435,0.20455,1.1961,2.85248,0.96757,0.000731094,0.000731094,0.000731094
21,15.5824,1.20371,1.00884,1.00754,0.94566,0.21429,0.28828,0.1563,1.26267,2.93644,1.02576,0.00076588,0.00076588,0.00076588
22,16.325,1.24438,0.95421,1.07651,0.96147,0.21429,0.27642,0.17455,1.27037,2.90611,1.03114,0.000800402,0.000800402,0.000800402
23,17.0729,1.2203,0.97152,1.0155,0.97522,0.21429,0.2888,0.19049,1.19781,2.8542,1.0074,0.00083466,0.00083466,0.00083466
24,17.856,1.17637,0.94517,0.99428,0.98619,0.21429,0.2919,0.17826,1.20983,2.82063,1.02427,0.000868654,0.000868654,0.000868654
25,18.5402,1.14153,0.90677,1.00532,1,0.17925,0.29357,0.18236,1.25881,2.84749,1.0487,0.000902384,0.000902384,0.000902384
26,19.2298,1.22143,1.11623,1.14291,1,0.1411,0.27889,0.17905,1.19854,2.85276,1.03937,0.00093585,0.00093585,0.00093585
27,19.8897,1.3368,1.32695,1.23283,1,0.18539,0.33923,0.22329,1.21921,2.90279,1.04396,0.000969052,0.000969052,0.000969052
28,20.5836,1.29786,0.92715,1.06035,1,0.18539,0.33923,0.22329,1.21921,2.90279,1.04396,0.00100199,0.00100199,0.00100199
29,21.2789,1.19239,0.96954,1.00644,1,0.23005,0.4796,0.29514,1.24325,2.71174,1.02098,0.00103466,0.00103466,0.00103466
30,21.981,1.24538,1.04367,1.15386,1,0.23689,0.56111,0.35691,1.16302,2.5801,0.9717,0.00106707,0.00106707,0.00106707
31,22.7347,1.14206,0.95483,1.05023,1,0.23689,0.56111,0.35691,1.16302,2.5801,0.9717,0.00109922,0.00109922,0.00109922
32,23.5181,1.17473,0.88298,0.99757,1,0.24426,0.70934,0.49487,1.14102,2.49375,0.96685,0.0011311,0.0011311,0.0011311
33,24.297,1.10347,0.91107,0.96599,1,0.29724,0.71835,0.5059,1.15198,2.30028,0.93356,0.00116272,0.00116272,0.00116272
34,25.0592,1.05266,0.87185,0.93467,1,0.29724,0.71835,0.5059,1.15198,2.30028,0.93356,0.00119407,0.00119407,0.00119407
35,25.8547,1.21566,0.83585,1.03214,0.61313,0.5662,0.55725,0.36512,1.23453,2.17982,0.96741,0.00122516,0.00122516,0.00122516
36,26.6205,1.16787,0.89791,1.03178,0.45681,0.66099,0.39491,0.25218,1.25458,2.24441,0.98057,0.00125599,0.00125599,0.00125599
37,27.3562,1.12327,0.91782,1.0317,0.45681,0.66099,0.39491,0.25218,1.25458,2.24441,0.98057,0.00128655,0.00128655,0.00128655
38,28.1127,1.06575,0.77628,0.96842,0.4074,0.75,0.37026,0.25062,1.15873,2.23023,0.94505,0.00131685,0.00131685,0.00131685
39,28.9717,1.15182,0.99745,1.04922,0.44631,0.75,0.3954,0.2703,1.14642,2.12724,0.95343,0.00134688,0.00134688,0.00134688
40,29.6788,1.03113,0.73868,0.97551,0.44631,0.75,0.3954,0.2703,1.14642,2.12724,0.95343,0.00137665,0.00137665,0.00137665
41,30.4622,1.08156,0.76581,1.02017,0.5204,0.75,0.49058,0.33856,1.19301,1.95979,0.98014,0.00140616,0.00140616,0.00140616
42,31.2538,1.01311,0.75968,0.99221,0.60564,0.71306,0.69578,0.48454,1.18665,1.83895,0.97273,0.0014354,0.0014354,0.0014354
43,31.9888,1.0851,0.87158,1.07083,0.60564,0.71306,0.69578,0.48454,1.18665,1.83895,0.97273,0.00146438,0.00146438,0.00146438
44,32.7633,1.06137,0.86086,0.99821,1,0.67025,0.78694,0.55639,1.10715,1.66008,0.9288,0.00149309,0.00149309,0.00149309
45,33.4232,1.09822,0.83175,0.99712,1,0.67025,0.78694,0.55639,1.10715,1.66008,0.9288,0.00152154,0.00152154,0.00152154
46,34.1069,1.04565,0.8015,1.00713,1,0.71109,0.8039,0.5699,1.09375,1.65339,0.92081,0.00154973,0.00154973,0.00154973
47,33.8804,1.1339,0.82282,1.02894,1,0.71109,0.8039,0.5699,1.09375,1.65339,0.92081,0.00157765,0.00157765,0.00157765
48,33.1102,1.13137,0.85807,1.03847,0.9634,0.75,0.821,0.56955,1.14762,1.58033,0.96266,0.00160531,0.00160531,0.00160531
49,33.8353,1.08747,0.84649,1.04042,0.9634,0.75,0.821,0.56955,1.14762,1.58033,0.96266,0.0016327,0.0016327,0.0016327
50,34.5872,1.04312,0.80967,1.00583,0.9553,0.67857,0.79658,0.54851,1.12308,1.52702,0.926,0.00165983,0.00165983,0.00165983
51,35.3116,1.00638,0.75685,0.94296,0.9553,0.67857,0.79658,0.54851,1.12308,1.52702,0.926,0.00167,0.00167,0.00167
52,36.0365,1.21389,0.85379,1.04258,0.8956,0.613,0.78523,0.48061,1.19171,1.4875,0.94799,0.0016634,0.0016634,0.0016634
53,36.8194,1.12069,0.86326,1.05708,0.8956,0.613,0.78523,0.48061,1.19171,1.4875,0.94799,0.0016568,0.0016568,0.0016568
54,37.5138,0.97669,0.71502,0.95062,1,0.73801,0.83878,0.55651,1.12624,1.31418,0.94375,0.0016502,0.0016502,0.0016502
55,38.1824,1.04274,0.73149,0.93756,1,0.73801,0.83878,0.55651,1.12624,1.31418,0.94375,0.0016436,0.0016436,0.0016436
56,38.8646,1.08407,0.75903,0.95071,0.9993,0.75,0.86921,0.64186,1.01499,1.1177,0.90627,0.001637,0.001637,0.001637
57,39.555,1.10236,0.89262,0.97543,0.9993,0.75,0.86921,0.64186,1.01499,1.1177,0.90627,0.0016304,0.0016304,0.0016304
58,40.3079,1.03919,0.71957,0.97564,0.94816,0.75,0.896,0.63696,1.05596,1.07289,0.91864,0.0016238,0.0016238,0.0016238
59,40.9801,1.01012,0.72435,0.94391,0.94816,0.75,0.896,0.63696,1.05596,1.07289,0.91864,0.0016172,0.0016172,0.0016172
60,41.6911,0.99337,0.73529,0.96012,0.95308,0.75,0.90152,0.54533,1.40005,1.12723,1.04891,0.0016106,0.0016106,0.0016106
61,42.347,1.06714,1.25289,1.02564,0.95308,0.75,0.90152,0.54533,1.40005,1.12723,1.04891,0.001604,0.001604,0.001604
62,43.149,1.08305,0.73609,0.95157,0.94807,0.75,0.89682,0.57116,1.26237,1.20793,0.99634,0.0015974,0.0015974,0.0015974
63,43.8272,1.0397,0.7775,1.00543,0.94807,0.75,0.89682,0.57116,1.26237,1.20793,0.99634,0.0015908,0.0015908,0.0015908
64,44.6985,1.08898,0.84845,1.07104,0.9562,0.77985,0.9013,0.6036,1.22015,1.22021,0.97379,0.0015842,0.0015842,0.0015842
65,45.4275,1.11472,0.77096,1.01606,0.9562,0.77985,0.9013,0.6036,1.22015,1.22021,0.97379,0.0015776,0.0015776,0.0015776
66,46.1998,0.97189,0.78261,0.95466,0.99075,0.75,0.92155,0.61058,1.22082,1.17641,0.97169,0.001571,0.001571,0.001571
67,46.9778,0.9851,0.69756,0.92153,0.99075,0.75,0.92155,0.61058,1.22082,1.17641,0.97169,0.0015644,0.0015644,0.0015644
68,47.8348,0.98455,0.71417,0.91806,0.95766,0.80809,0.93033,0.59983,1.21805,1.14247,0.95992,0.0015578,0.0015578,0.0015578
69,48.6074,1.03591,0.741,0.9652,0.95766,0.80809,0.93033,0.59983,1.21805,1.14247,0.95992,0.0015512,0.0015512,0.0015512
70,49.5413,1.11917,0.78698,0.99538,1,0.81036,0.92646,0.61539,1.16396,1.08646,0.94341,0.0015446,0.0015446,0.0015446
71,50.4188,0.96518,0.68638,0.94007,1,0.81036,0.92646,0.61539,1.16396,1.08646,0.94341,0.001538,0.001538,0.001538
72,51.2476,0.96053,0.66509,0.94044,1,0.81066,0.93431,0.66222,1.16893,0.97635,0.96401,0.0015314,0.0015314,0.0015314
73,52.0341,1.01611,0.69847,1.01243,1,0.81066,0.93431,0.66222,1.16893,0.97635,0.96401,0.0015248,0.0015248,0.0015248
74,52.8126,1.09205,0.696,0.99392,0.95756,0.80615,0.92116,0.66049,1.12938,0.9736,0.94935,0.0015182,0.0015182,0.0015182
75,53.6422,1.00281,0.66529,0.96354,0.95756,0.80615,0.92116,0.66049,1.12938,0.9736,0.94935,0.0015116,0.0015116,0.0015116
76,54.4037,0.99309,0.66604,0.93836,0.99868,0.78571,0.90457,0.65642,1.09325,1.02112,0.93056,0.001505,0.001505,0.001505
77,55.1507,0.95038,0.69915,0.97585,0.99868,0.78571,0.90457,0.65642,1.09325,1.02112,0.93056,0.0014984,0.0014984,0.0014984
78,55.9918,1.01954,0.75249,0.96144,0.99507,0.78571,0.90394,0.65689,1.11196,0.96286,0.94112,0.0014918,0.0014918,0.0014918
79,56.815,1.01711,0.85771,0.93935,0.99507,0.78571,0.90394,0.65689,1.11196,0.96286,0.94112,0.0014852,0.0014852,0.0014852
80,57.6112,0.94315,0.66513,0.92914,1,0.85148,0.92339,0.67141,1.12193,0.8065,0.93051,0.0014786,0.0014786,0.0014786
81,58.3723,0.86641,0.66607,0.88048,1,0.85148,0.92339,0.67141,1.12193,0.8065,0.93051,0.001472,0.001472,0.001472
82,59.1906,0.85803,0.61147,0.94711,0.94893,0.89286,0.95268,0.65585,1.16233,0.70866,0.94258,0.0014654,0.0014654,0.0014654
83,59.9828,0.91807,0.64719,0.93062,0.94893,0.89286,0.95268,0.65585,1.16233,0.70866,0.94258,0.0014588,0.0014588,0.0014588
84,60.7887,0.91921,0.62828,0.92953,0.89521,0.91557,0.95888,0.61451,1.31212,0.7418,1.00222,0.0014522,0.0014522,0.0014522
85,61.5584,0.92479,0.59012,0.94277,0.89521,0.91557,0.95888,0.61451,1.31212,0.7418,1.00222,0.0014456,0.0014456,0.0014456
86,61.429,1.03519,0.67958,0.97139,0.95984,0.85379,0.95998,0.63837,1.2424,0.75535,0.9625,0.001439,0.001439,0.001439
87,60.5348,1.01592,0.66266,0.98979,0.95984,0.85379,0.95998,0.63837,1.2424,0.75535,0.9625,0.0014324,0.0014324,0.0014324
88,61.2797,0.96911,0.65567,0.91794,0.95072,0.89286,0.96307,0.65352,1.20043,0.7471,0.95826,0.0014258,0.0014258,0.0014258
89,62.107,0.9363,0.6166,0.96002,0.95072,0.89286,0.96307,0.65352,1.20043,0.7471,0.95826,0.0014192,0.0014192,0.0014192
90,62.9734,0.97525,0.68163,1.00116,1,0.81959,0.92647,0.59928,1.32005,0.80863,1.02086,0.0014126,0.0014126,0.0014126
91,63.8019,0.98742,0.58805,0.91351,1,0.81959,0.92647,0.59928,1.32005,0.80863,1.02086,0.001406,0.001406,0.001406
92,64.6003,0.85945,0.70153,0.93104,1,0.81838,0.90219,0.59898,1.23993,0.87835,0.99902,0.0013994,0.0013994,0.0013994
93,65.455,0.85579,0.61507,0.92772,1,0.81838,0.90219,0.59898,1.23993,0.87835,0.99902,0.0013928,0.0013928,0.0013928
94,66.3413,0.87441,0.63902,0.92892,0.99563,0.78571,0.85696,0.59602,1.14558,0.91755,0.95521,0.0013862,0.0013862,0.0013862
95,67.1031,0.92868,0.64287,0.90483,0.99563,0.78571,0.85696,0.59602,1.14558,0.91755,0.95521,0.0013796,0.0013796,0.0013796
96,67.9907,0.97453,0.61449,0.99449,0.99563,0.78571,0.84439,0.57655,1.15939,0.96898,0.96698,0.001373,0.001373,0.001373
97,68.7807,0.84374,0.62292,0.91167,0.99563,0.78571,0.84439,0.57655,1.15939,0.96898,0.96698,0.0013664,0.0013664,0.0013664
