epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94912,2.49988,4.26252,1.9024,0.01599,0.41434,0.0675,0.03161,1.72217,3.86565,1.39856,0.000249213,0.000249213,0.000249213
2,14.2661,1.77012,3.17498,1.37053,0.7182,0.13928,0.22968,0.10238,1.7636,3.02839,1.3618,0.000500541,0.000500541,0.000500541
3,20.632,1.73854,2.37085,1.34229,0.475,0.3999,0.44147,0.22322,1.64513,2.20317,1.32927,0.000746794,0.000746794,0.000746794
4,26.8136,1.6631,2.02896,1.29562,0.50466,0.53121,0.49335,0.24486,1.64579,1.92163,1.3332,0.000746161,0.000746161,0.000746161
5,33.3594,1.6324,1.86227,1.27601,0.61357,0.58621,0.58916,0.29754,1.62923,1.62955,1.31213,0.000738548,0.000738548,0.000738548
6,40.0627,1.58887,1.7197,1.25502,0.67042,0.64979,0.69158,0.35658,1.60654,1.59753,1.28981,0.000730935,0.000730935,0.000730935
7,46.6522,1.559,1.58025,1.23117,0.62325,0.65605,0.67552,0.33727,1.60121,1.54789,1.29033,0.000723321,0.000723321,0.000723321
8,53.1552,1.54944,1.52888,1.23617,0.76894,0.71947,0.7673,0.40457,1.52899,1.33096,1.23083,0.000715708,0.000715708,0.000715708
9,59.7245,1.5556,1.47523,1.23169,0.76409,0.71775,0.77983,0.40169,1.57228,1.36309,1.29121,0.000708095,0.000708095,0.000708095
10,66.4611,1.54133,1.4213,1.22776,0.80739,0.73977,0.80874,0.42223,1.55575,1.24917,1.25447,0.000700482,0.000700482,0.000700482
11,73.1891,1.51629,1.36131,1.21641,0.75503,0.73093,0.77313,0.40192,1.58318,1.26998,1.3007,0.000692869,0.000692869,0.000692869
12,79.5163,1.48346,1.3129,1.2017,0.7515,0.77553,0.81824,0.42466,1.52258,1.21603,1.24751,0.000685256,0.000685256,0.000685256
13,85.8283,1.50035,1.29317,1.21748,0.81391,0.78823,0.83056,0.42831,1.53409,1.19142,1.25326,0.000677643,0.000677643,0.000677643
14,92.2672,1.51252,1.2887,1.21547,0.79145,0.79768,0.81755,0.43287,1.52799,1.1585,1.23979,0.00067003,0.00067003,0.00067003
15,98.6784,1.45722,1.22831,1.19058,0.78428,0.83186,0.857,0.45245,1.52029,1.15644,1.2378,0.000662417,0.000662417,0.000662417
16,105.118,1.45735,1.2377,1.20235,0.8033,0.7547,0.80524,0.41655,1.54421,1.21348,1.26204,0.000654804,0.000654804,0.000654804
17,111.433,1.46465,1.212,1.1942,0.77899,0.83347,0.83743,0.45073,1.51866,1.14813,1.21553,0.00064719,0.00064719,0.00064719
18,118.143,1.46706,1.19761,1.20205,0.81251,0.83674,0.86633,0.45477,1.55768,1.10561,1.26651,0.000639577,0.000639577,0.000639577
19,124.606,1.4622,1.18488,1.18304,0.78698,0.83403,0.80947,0.42034,1.52749,1.16425,1.25317,0.000631964,0.000631964,0.000631964
20,131.1,1.45421,1.18185,1.19121,0.81294,0.83638,0.84921,0.44107,1.55751,1.13656,1.22859,0.000624351,0.000624351,0.000624351
21,137.655,1.46721,1.22223,1.19063,0.78727,0.80926,0.84739,0.4367,1.51323,1.15411,1.22791,0.000616738,0.000616738,0.000616738
22,144.345,1.4189,1.14035,1.16677,0.80166,0.8572,0.86944,0.46677,1.49265,1.10211,1.21202,0.000609125,0.000609125,0.000609125
23,151.109,1.42725,1.14008,1.17962,0.81362,0.84509,0.86565,0.45721,1.51646,1.08026,1.23528,0.000601512,0.000601512,0.000601512
24,157.994,1.43349,1.1781,1.18196,0.81305,0.81992,0.85339,0.449,1.48416,1.14756,1.23659,0.000593899,0.000593899,0.000593899
25,164.625,1.43886,1.15161,1.17813,0.81882,0.82448,0.84246,0.45334,1.53019,1.07686,1.22718,0.000586286,0.000586286,0.000586286
26,170.887,1.4199,1.09433,1.17794,0.78001,0.82912,0.83177,0.45313,1.51179,1.08819,1.21593,0.000578672,0.000578672,0.000578672
27,177.26,1.40036,1.10004,1.16442,0.81221,0.87019,0.85701,0.45975,1.52372,1.10788,1.25294,0.000571059,0.000571059,0.000571059
28,183.493,1.41618,1.07718,1.16556,0.83762,0.81718,0.84088,0.45601,1.50515,1.08475,1.23516,0.000563446,0.000563446,0.000563446
29,189.771,1.42504,1.10381,1.17084,0.84566,0.84256,0.88345,0.47104,1.53896,1.0611,1.22372,0.000555833,0.000555833,0.000555833
30,196.057,1.39663,1.04631,1.15682,0.80763,0.83505,0.83666,0.42856,1.57622,1.10045,1.26385,0.00054822,0.00054822,0.00054822
31,202.236,1.40769,1.0485,1.16531,0.85623,0.85872,0.8783,0.46954,1.5183,1.02991,1.22676,0.000540607,0.000540607,0.000540607
32,208.896,1.4022,1.03187,1.15849,0.83969,0.83221,0.85783,0.47695,1.47732,1.06396,1.20376,0.000532994,0.000532994,0.000532994
33,215.416,1.40136,1.05346,1.15928,0.81791,0.87969,0.87114,0.47865,1.47399,1.01577,1.20907,0.000525381,0.000525381,0.000525381
34,221.708,1.42059,1.05548,1.1719,0.82154,0.86472,0.85605,0.46406,1.47794,1.02157,1.22478,0.000517768,0.000517768,0.000517768
35,227.867,1.37199,1.01958,1.15157,0.85578,0.84626,0.86219,0.47084,1.50285,1.02887,1.23013,0.000510155,0.000510155,0.000510155
36,234.111,1.37717,1.02761,1.15984,0.83935,0.8421,0.88461,0.46936,1.52564,1.0309,1.23032,0.000502541,0.000502541,0.000502541
37,240.329,1.38022,1.00108,1.1488,0.83879,0.85762,0.86397,0.46585,1.47834,1.03609,1.21261,0.000494928,0.000494928,0.000494928
38,248.944,1.36176,1.01234,1.1375,0.84639,0.85238,0.85789,0.47285,1.47966,1.02409,1.20123,0.000487315,0.000487315,0.000487315
39,255.77,1.36699,1.01988,1.14791,0.85308,0.84997,0.87354,0.47756,1.50966,1.01923,1.2138,0.000479702,0.000479702,0.000479702
40,262.174,1.37903,1.00499,1.16536,0.85127,0.82244,0.86937,0.47496,1.51281,1.02805,1.21252,0.000472089,0.000472089,0.000472089
41,268.784,1.36876,0.98653,1.15566,0.81908,0.85866,0.86462,0.47791,1.47841,1.01818,1.20981,0.000464476,0.000464476,0.000464476
42,275.238,1.35931,0.98537,1.14298,0.84402,0.8747,0.88576,0.48444,1.4854,0.96761,1.25158,0.000456863,0.000456863,0.000456863
43,281.603,1.3713,0.98211,1.15499,0.87795,0.85122,0.90019,0.49013,1.48304,0.99269,1.22454,0.00044925,0.00044925,0.00044925
44,287.93,1.37513,0.97622,1.14816,0.86312,0.84705,0.87653,0.48079,1.49196,0.98178,1.22628,0.000441637,0.000441637,0.000441637
45,294.346,1.36272,0.96035,1.15272,0.83633,0.87154,0.88008,0.48828,1.48353,0.98541,1.23025,0.000434024,0.000434024,0.000434024
46,301.201,1.36134,0.9454,1.1406,0.89517,0.87293,0.91095,0.49982,1.49094,0.96101,1.21356,0.000426411,0.000426411,0.000426411
47,307.628,1.34879,0.96073,1.13925,0.87854,0.88866,0.90514,0.50467,1.47699,0.95763,1.2109,0.000418797,0.000418797,0.000418797
48,314.134,1.33271,0.94258,1.14686,0.82899,0.86855,0.85886,0.47855,1.47937,1.02199,1.20832,0.000411184,0.000411184,0.000411184
49,320.655,1.35294,0.9566,1.14518,0.83969,0.87739,0.87258,0.49185,1.45547,0.97333,1.20792,0.000403571,0.000403571,0.000403571
50,327.169,1.34658,0.9309,1.14069,0.85109,0.86736,0.88869,0.48299,1.519,0.975,1.22682,0.000395958,0.000395958,0.000395958
51,334.671,1.35742,0.92146,1.14347,0.86309,0.8704,0.86365,0.47144,1.49834,0.98189,1.22182,0.000388345,0.000388345,0.000388345
52,341.862,1.33358,0.93441,1.13373,0.86167,0.8508,0.88662,0.49099,1.47957,0.97046,1.23475,0.000380732,0.000380732,0.000380732
53,348.635,1.33506,0.94225,1.13512,0.85726,0.87162,0.88544,0.48261,1.49244,0.9801,1.21824,0.000373119,0.000373119,0.000373119
54,354.796,1.32116,0.89807,1.12646,0.83991,0.86301,0.87738,0.49438,1.47507,0.95411,1.21234,0.000365506,0.000365506,0.000365506
55,360.984,1.35233,0.92208,1.14031,0.83638,0.85853,0.88397,0.49357,1.47908,0.95866,1.20636,0.000357893,0.000357893,0.000357893
